RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,BMI,40 Time,Draft Cap,PDOM1,PDOM2,PDOM3,PDOM4,PDOM5,TDOM,PDOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A
69,9,2021,Davis Mills,Outlier,5.68,66.60,0.12,Stanford,5,10/21/98,26.95,SR,22.53,Pocket Passer,76,214,26.05,4.89,3,0.00%,0.00%,0.00%,62.05%,87.70%,87.70%,74.55%,7.75%,10.49%,10.49%,8.92%,20.87,74.85,65.8%,12.37,78.8%,7.7%,3.1%,67%,5.70,0.15,3.47
70,5,2025,Tyler Shough,Outlier,5.62,66.10,0.10,Louisville,4,9/28/99,26.02,RS SR,25.60,Pocket Passer,77,225,26.68,4.63,2,88.22%,25.54%,32.81%,25.62%,92.95%,92.95%,83.66%,9.54%,5.12%,7.33%,6.60%,20.94,97.92,62.1%,13.13,75.1%,5.1%,1.8%,47%,5.60,0.21,3.44
71,6,2016,Cody Kessler,Outlier,5.57,65.70,0.09,USC,5,5/11/93,32.40,SR,22.98,Pocket Passer,73,215,28.37,4.89,3,0.00%,0.25%,93.36%,98.83%,93.70%,96.27%,81.83%,3.01%,3.94%,3.94%,3.35%,20.32,75.20,69.3%,11.87,80.3%,4.9%,1.9%,57%,2.90,0.06,2.79
72,6,2023,Hendon Hooker,Outlier,5.55,65.20,0.08,Tennessee,1,1/13/98,27.72,RS SR,25.30,Mobile Passer,75,217,27.12,4.7,3,0.00%,57.25%,60.85%,88.21%,73.96%,81.08%,81.08%,25.62%,20.60%,23.11%,23.11%,21.64,88.94,69.2%,13.69,76.8%,5.6%,1.1%,50%,7.40,0.30,4.70
73,7,2024,Joe Milton,Outlier,5.32,64.70,0.02,Tennessee,1,3/6/00,25.58,RS SR,24.16,Mobile Passer,77,235,27.87,4.56,6,1.81%,71.37%,11.22%,22.91%,88.84%,88.84%,88.84%,3.20%,14.35%,14.35%,14.35%,20.50,108.70,64.7%,12.27,73.2%,11.1%,2.0%,52%,6.50,0.06,1.82
74,13,2026,Taylen Green,Outlier,5.24,64.20,-0.01,Arkansas,1,10/18/02,22.96,RS SR,23.54,Dual Threat,78,235,27.16,4.7,0,0.00%,76.12%,56.78%,88.10%,91.83%,89.96%,89.96%,30.65%,40.28%,40.28%,40.28%,19.88,96.32,64.3%,14.70,72.0%,5.5%,3.6%,48%,9.02,0.32,4.46
75,14,2026,Jayden Maiava,Outlier,5.13,63.70,-0.04,USC,2,4/6/04,21.49,RS JR,22.07,Distributor,76,230,28.00,4.7,0,0.00%,0.00%,91.70%,31.65%,92.23%,61.94%,61.94%,4.24%,6.16%,6.16%,6.16%,19.42,94.27,70.8%,17.99,79.8%,5.1%,2.9%,71%,4.40,0.32,3.07
76,6,2020,Jacob Eason,Outlier,5.05,63.20,-0.06,Washington,5,11/17/97,27.88,RS JR,22.46,Pocket Passer,78,227,26.23,4.9,4,0.00%,96.62%,1.06%,0.00%,99.34%,99.34%,84.44%,0.00%,3.17%,3.17%,2.70%,18.80,78.75,64.1%,12.04,74.9%,5.4%,2.6%,46%,2.10,0.00,1.61
77,8,2024,Jordan Travis,Outlier,4.97,62.80,-0.09,Florida State,4,5/2/00,25.42,RS SR,24.00,Mobile Passer,73,212,27.97,4.65,5,2.62%,59.63%,62.88%,91.34%,78.29%,84.82%,76.33%,18.18%,12.15%,15.17%,13.65%,20.35,90.69,63.7%,13.31,72.5%,6.8%,2.1%,52%,7.96,0.42,3.40
78,6,2025,Will Howard,Outlier,4.93,62.30,-0.10,Ohio State,2,9/24/01,24.02,RS SR,23.61,Distributor,76,235,28.60,4.5,6,63.44%,12.82%,55.41%,83.89%,95.13%,95.13%,95.13%,15.29%,11.78%,13.53%,13.53%,18.95,114.62,72.8%,13.00,79.6%,6.3%,3.1%,60%,5.80,0.09,1.67
79,7,2023,Clayton Tune,Outlier,4.87,61.80,-0.12,Houston,6,3/23/99,26.53,RS SR,24.11,Dual Threat,75,220,27.50,4.64,5,20.70%,62.75%,95.95%,93.21%,99.58%,99.58%,74.69%,16.96%,35.11%,35.11%,26.34%,20.45,94.93,67.8%,12.21,79.5%,6.0%,2.7%,48%,6.30,0.24,2.88
80,8,2023,Jake Haener,Outlier,4.82,61.30,-0.13,Fresno State,7,3/10/99,26.57,RS SR,24.15,Pocket Passer,72,207,28.07,4.8,4,3.21%,0.00%,94.43%,96.49%,76.56%,86.52%,64.89%,9.75%,2.60%,6.17%,4.63%,21.50,77.99,71.3%,11.46,78.8%,8.3%,2.2%,57%,3.50,0.07,2.24
81,3,2015,Bryce Petty,Outlier,4.75,60.80,-0.15,Baylor,3,5/31/91,34.35,SR,23.92,Distributor,75,226,28.25,4.87,4,0.00%,0.94%,2.19%,89.97%,81.04%,85.51%,76.96%,0.00%,8.47%,8.47%,7.63%,22.27,80.36,62.8%,14.28,72.9%,5.8%,2.4%,44%,3.80,0.06,1.35
82,7,2022,Malik Willis,Outlier,4.74,60.30,-0.15,Liberty,8,5/25/99,26.36,RS SR,22.94,Run First,72,219,29.70,4.5,3,1.38%,0.83%,0.00%,89.26%,86.24%,87.75%,57.04%,54.27%,53.14%,53.70%,34.91%,21.29,106.81,64.3%,13.75,73.6%,11.0%,3.7%,51%,8.10,0.44,5.26
83,10,2021,Feleipe Franks,Outlier,4.72,59.90,-0.16,Arkansas,1,12/22/97,27.78,SR,23.36,Game Manager,77,227,26.92,4.83,0,0.00%,72.76%,88.51%,17.85%,86.26%,87.39%,87.39%,4.06%,19.47%,19.47%,19.47%,19.70,83.42,68.1%,13.07,80.3%,6.6%,2.7%,68%,4.40,0.16,2.49
84,5,2017,Joshua Dobbs,Outlier,4.71,59.40,-0.16,Tennessee,1,1/26/95,30.69,SR,22.27,Run First,75,216,27.00,4.64,4,0.00%,35.12%,41.08%,89.54%,94.94%,94.94%,94.94%,26.52%,35.89%,35.89%,35.89%,20.61,93.20,62.5%,13.08,72.4%,4.3%,4.2%,56%,8.10,0.32,5.41
85,6,2017,Chad Kelly,Outlier,4.69,58.90,-0.17,Ole Miss,1,3/26/94,31.53,SR,23.10,Mobile Passer,73,215,28.37,4.75,7,0.00%,0.00%,0.00%,92.76%,72.98%,82.87%,82.87%,24.30%,21.83%,23.07%,23.07%,21.45,84.47,64.8%,13.45,75.5%,6.6%,3.9%,53%,6.80,0.24,3.97
86,15,2026,Josh Hoover,Outlier,4.65,58.40,-0.18,TCU,3,2/15/04,21.63,RS JR,22.21,Pocket Passer,74,200,25.68,4.7,5,0.00%,0.00%,58.89%,97.15%,97.66%,97.40%,87.66%,5.35%,5.33%,5.34%,4.81%,19.56,81.97,68.0%,14.29,76.7%,4.2%,2.6%,55%,3.50,0.05,3.25
87,8,2022,Bailey Zappe,Outlier,4.61,57.90,-0.19,Western Kentucky,10,4/26/99,26.44,RS SR,23.02,Pocket Passer,72,215,29.16,4.88,4,10.65%,19.14%,7.55%,99.51%,98.26%,98.89%,59.33%,18.75%,8.51%,13.63%,8.18%,21.37,75.82,68.7%,12.51,77.5%,6.5%,2.8%,59%,3.60,0.07,2.75
88,7,2025,Shedeur Sanders,Outlier,4.60,57.40,-0.19,Colorado,3,2/7/02,23.65,SR,23.23,Distributor,74,215,27.60,4.75,5,0.00%,100.00%,97.07%,91.34%,100.00%,100.00%,90.00%,28.37%,24.92%,26.64%,23.98%,19.58,84.47,73.4%,11.71,81.8%,5.0%,1.3%,49%,6.30,0.33,3.64
89,7,2016,Cardale Jones,Outlier,4.57,57.00,-0.20,Ohio State,2,9/29/92,33.02,JR,23.59,Game Manager,77,264,31.31,4.81,4,0.00%,0.00%,0.11%,23.06%,59.05%,59.05%,59.05%,8.62%,8.44%,8.53%,8.53%,22.93,98.64,61.9%,13.29,72.7%,3.3%,0.8%,54%,5.30,0.32,3.51
90,4,2015,Brett Hundley,Outlier,4.57,56.50,-0.20,UCLA,5,6/15/93,32.31,JR,21.88,Dual Threat,75,226,28.25,4.63,5,0.00%,0.00%,96.89%,93.94%,93.54%,95.21%,80.93%,0.00%,28.04%,28.04%,23.84%,19.22,98.36,68.2%,11.63,78.1%,4.1%,3.1%,40%,6.30,0.14,2.35
91,7,2020,Jake Fromm,Outlier,4.55,56.00,-0.21,Georgia,1,7/30/98,27.18,JR,21.76,Pocket Passer,74,219,28.12,4.9,5,0.00%,0.00%,97.44%,86.86%,91.45%,94.44%,94.44%,1.84%,3.10%,3.10%,3.10%,19.10,75.98,67.3%,12.20,75.7%,6.0%,1.6%,58%,2.10,0.00,1.20
92,11,2021,Kellen Mond,Outlier Lite,4.49,55.50,-0.23,Texas A&M,1,6/22/99,26.28,SR,21.86,Run First,76,225,27.39,4.71,3,0.00%,41.79%,94.79%,94.67%,97.48%,97.48%,97.48%,30.14%,15.93%,23.04%,23.04%,19.21,91.44,63.1%,12.97,71.6%,6.1%,2.4%,44%,6.60,0.05,3.57
93,8,2016,Connor Cook,Outlier Lite,4.44,55.00,-0.24,Michigan State,2,1/29/93,32.68,RS SR,23.26,Pocket Passer,76,217,26.41,4.79,4,0.00%,3.44%,92.95%,93.08%,95.46%,95.46%,95.46%,3.99%,6.47%,6.47%,6.47%,20.60,82.44,57.8%,13.67,66.5%,7.6%,4.1%,59%,3.10,0.02,1.17
94,6,2019,Trace McSorley,Outlier Lite,4.44,54.50,-0.24,Penn State,2,8/23/95,30.12,SR,23.69,Run First,72,202,27.40,4.57,6,0.00%,6.64%,99.04%,94.62%,88.29%,93.67%,93.67%,25.74%,32.03%,32.03%,32.03%,21.04,92.62,66.0%,13.11,75.6%,6.6%,1.8%,53%,6.10,0.10,2.60
95,9,2024,Michael Pratt,Outlier Lite,4.43,54.10,-0.24,Tulane,8,9/30/01,24.01,SR,22.59,Game Manager,75,220,27.50,4.58,7,0.00%,85.19%,89.25%,90.58%,79.90%,85.24%,55.41%,19.65%,14.96%,17.31%,11.25%,18.93,100.00,65.4%,13.00,77.3%,6.5%,1.7%,50%,5.32,0.17,3.55
96,16,2026,Beau Pribula,Outlier Lite,4.34,53.60,-0.27,Missouri,1,10/5/03,21.99,JR,22.58,Mobile Passer,74,212,27.22,4.7,0,0.00%,0.00%,5.34%,7.54%,93.85%,93.85%,93.85%,7.56%,15.15%,15.15%,15.15%,21.92,86.89,74.3%,11.45,77.3%,4.2%,2.1%,75%,6.70,0.24,2.61
97,5,2015,Sean Mannion,Outlier Lite,4.31,53.10,-0.28,Oregon State,5,4/25/93,32.45,SR,22.02,Pocket Passer,76,230,28.00,5.14,3,0.00%,96.72%,61.27%,96.24%,96.07%,96.39%,81.93%,0.00%,0.58%,0.58%,0.49%,18.36,65.90,66.3%,11.22,71.4%,5.6%,3.0%,45%,0.40,0.00,0.09
98,7,2018,Alex McGough,Outlier Lite,4.30,52.60,-0.28,FIU,10,11/19/95,29.88,SR,22.45,Mobile Passer,74,220,28.25,4.74,7,0.00%,82.09%,94.92%,69.52%,92.41%,93.67%,56.20%,9.86%,17.80%,17.80%,10.68%,18.79,87.16,65.4%,12.07,76.5%,5.0%,3.2%,50%,6.40,0.19,2.09
99,6,2015,Garrett Grayson,Outlier Lite,4.30,52.10,-0.28,Colorado State,7,5/29/91,34.36,SR,23.93,Pocket Passer,74,220,28.25,4.8,3,0.00%,24.47%,37.51%,99.09%,95.79%,97.44%,73.08%,0.00%,5.55%,5.55%,4.16%,22.27,82.89,64.5%,14.67,75.4%,5.9%,3.6%,53%,3.20,0.07,0.36
100,8,2025,Cam Miller,Outlier Lite,4.27,51.60,-0.29,North Dakota State,11,6/18/01,24.29,RS SR,23.87,Dual Threat,73,212,27.97,4.62,6,28.98%,63.81%,97.49%,90.49%,90.55%,94.02%,51.71%,19.41%,22.82%,22.82%,12.55%,20.22,93.07,72.9%,12.59,78.4%,8.9%,1.3%,61%,5.70,0.11,2.16
101,17,2026,Darian Mensah,Outlier Lite,4.26,51.20,-0.29,Duke,4,1/25/05,20.68,RS SO,21.27,Pocket Passer,75,205,25.62,4.7,0,0.00%,0.00%,0.00%,92.87%,97.92%,95.39%,85.86%,8.66%,1.97%,5.31%,4.78%,19.61,84.02,67.2%,12.95,78.6%,7.1%,2.9%,52%,5.00,0.14,1.66
102,9,2023,Stetson Bennett,Outlier Lite,4.22,50.70,-0.31,Georgia,1,10/28/97,27.93,RS SR,25.51,Distributor,71,192,26.78,4.67,4,0.00%,8.33%,46.98%,75.73%,93.11%,93.11%,93.11%,11.61%,8.06%,9.84%,9.84%,23.86,80.74,68.1%,13.37,76.7%,5.9%,2.4%,56%,7.50,0.19,3.07
103,10,2023,Dorian Thompson-Robinson,Outlier Lite,4.15,50.20,-0.33,UCLA,5,11/14/99,25.89,RS SR,23.47,Dual Threat,74,203,26.06,4.56,5,45.85%,88.06%,71.80%,88.06%,91.22%,91.22%,77.54%,25.46%,23.00%,24.23%,20.59%,19.81,93.90,69.3%,11.88,77.4%,4.9%,2.6%,36%,6.60,0.18,2.58
104,7,2019,Jarrett Stidham,Outlier Lite,4.14,49.70,-0.33,Auburn,1,8/8/96,29.16,RS JR,22.73,Pocket Passer,74,218,27.99,4.81,4,0.00%,33.63%,0.00%,96.60%,96.65%,96.65%,96.65%,10.99%,6.95%,8.97%,8.97%,21.08,81.45,66.3%,12.48,75.3%,5.2%,3.0%,42%,5.00,0.18,2.35
105,9,2025,Graham Mertz,Outlier Lite,4.13,49.20,-0.33,Florida,1,12/6/00,24.82,RS SR,24.41,Pocket Passer,74,216,27.73,5.03,6,97.71%,94.04%,88.91%,93.54%,70.09%,83.90%,83.90%,4.56%,8.81%,8.81%,8.81%,19.75,67.49,76.6%,10.99,82.4%,6.6%,1.4%,47%,3.90,0.08,2.18
106,10,2024,Spencer Rattler,Outlier Lite,4.07,48.70,-0.35,South Carolina,1,3/28/00,25.52,RS SR,24.10,Distributor,73,217,28.63,4.95,5,1.95%,87.47%,43.30%,89.70%,95.41%,95.41%,95.41%,12.87%,27.44%,27.44%,27.44%,20.44,72.29,68.0%,11.62,79.4%,5.0%,2.2%,51%,5.54,0.22,2.67
107,9,2016,Jeff Driskel,Outlier Lite,4.05,48.30,-0.35,Louisiana Tech,8,4/23/93,32.45,RS SR,23.03,Mobile Passer,76,235,28.60,4.56,6,6.13%,86.54%,23.26%,52.80%,96.49%,96.49%,62.72%,10.50%,20.01%,20.01%,13.01%,19.37,108.70,62.4%,14.40,71.4%,6.2%,2.7%,39%,5.80,0.18,2.52
108,8,2018,Mike White,Outlier Lite,4.05,47.80,-0.35,Western Kentucky,10,3/25/95,30.53,RS SR,23.11,Pocket Passer,76,224,27.27,5.09,5,10.79%,69.42%,0.00%,92.51%,95.94%,95.94%,57.56%,1.22%,1.19%,1.20%,0.72%,19.45,66.74,67.3%,11.35,78.2%,8.1%,3.0%,61%,2.60,0.00,1.48
109,9,2018,Logan Woodside,Outlier Lite,4.04,47.30,-0.36,Toledo,9,1/27/95,30.69,RS SR,23.26,Pocket Passer,73,201,26.52,4.79,7,0.00%,74.05%,0.00%,98.38%,99.11%,99.11%,64.42%,1.08%,5.29%,5.29%,3.44%,19.61,76.36,69.1%,14.66,76.9%,6.5%,2.9%,52%,3.80,0.00,1.10
110,8,2019,Ryan Finley,Outlier Lite,4.04,46.80,-0.36,NC State,4,12/26/94,30.78,RS SR,24.35,Pocket Passer,76,213,25.93,4.73,4,4.10%,12.04%,89.61%,98.24%,96.39%,97.31%,87.58%,11.10%,4.56%,7.83%,7.05%,21.70,85.11,67.4%,12.04,74.6%,5.8%,2.3%,49%,3.80,0.02,0.90
111,7,2017,Davis Webb,Outlier Lite,4.03,46.30,-0.36,California,5,1/22/95,30.70,SR,22.28,Pocket Passer,76,229,27.87,4.79,3,0.00%,53.22%,60.46%,5.95%,99.65%,99.65%,84.70%,0.23%,0.45%,0.45%,0.38%,19.62,87.00,61.6%,11.23,71.3%,5.8%,0.0%,42%,3.00,0.13,1.10
112,18,2026,Diego Pavia,Outlier Lite,4.02,45.80,-0.36,Vanderbilt,1,4/30/01,24.43,RS SR,25.01,Run First,72,207,28.07,4.7,0,0.00%,65.62%,92.45%,98.62%,86.07%,98.62%,98.62%,46.12%,24.37%,35.25%,35.25%,21.35,84.84,73.9%,13.09,78.7%,6.9%,1.3%,50%,5.84,0.25,3.52
113,8,2017,Nathan Peterman,Outlier Lite,4.00,45.40,-0.37,Pittsburgh,4,5/4/94,31.42,SR,23.00,Distributor,74,225,28.89,4.82,5,0.00%,0.00%,1.68%,92.82%,99.06%,99.06%,89.16%,14.12%,11.67%,12.90%,11.61%,21.34,83.37,61.6%,15.43,73.0%,8.1%,4.6%,55%,5.20,0.06,2.59
114,8,2020,Shea Patterson,Outlier Lite,3.86,44.90,-0.41,Michigan,2,1/17/97,28.71,SR,23.29,Distributor,73,212,27.97,4.67,0,0.00%,23.15%,57.35%,92.76%,93.77%,93.77%,93.77%,14.68%,11.47%,13.08%,13.08%,20.63,89.15,64.6%,14.42,73.9%,7.0%,2.8%,52%,7.00,0.11,2.37
115,19,2026,Behren Morton,Outlier Lite,3.84,44.40,-0.42,Texas Tech,3,1/8/03,22.73,0.00,23.32,Pocket Passer,74,210,26.96,4.7,0,0.00%,28.45%,60.27%,86.47%,72.60%,86.47%,77.82%,6.69%,4.28%,5.49%,4.94%,20.66,86.07,68.3%,15.43,76.8%,5.9%,0.9%,44%,4.63,0.13,1.29
116,10,2018,JT Barrett,Outlier Lite,3.84,43.90,-0.42,Ohio State,2,1/23/95,30.70,SR,23.27,Dual Threat,73,224,29.55,4.7,0,0.00%,76.05%,40.38%,91.87%,83.12%,87.50%,87.50%,28.93%,25.06%,26.99%,26.99%,19.62,91.81,83.0%,12.69,75.8%,5.5%,2.9%,38%,5.80,0.17,2.71
117,20,2026,Kevin Jennings,Outlier Lite,3.82,43.40,-0.42,SMU,3,4/10/04,21.48,RS JR,22.06,Distributor,72,192,26.04,4.7,0,0.00%,4.98%,15.86%,89.12%,100.00%,94.56%,85.10%,17.41%,17.34%,17.37%,15.64%,20.41,78.69,68.5%,12.94,77.7%,5.2%,3.0%,56%,5.33,0.24,1.71
118,9,2017,Brad Kaaya,Outlier Lite,3.80,42.90,-0.43,Miami,4,9/3/95,30.09,JR,21.66,Pocket Passer,76,214,26.05,4.78,6,0.00%,0.00%,98.12%,90.01%,99.10%,99.10%,89.19%,-0.82%,0.70%,0.70%,0.63%,19.01,81.98,61.8%,13.53,71.0%,4.9%,2.6%,48%,0.60,0.00,0.62
119,11,2023,Jaren Hall,Outlier Lite,3.77,42.50,-0.44,BYU,7,3/24/98,27.53,SR,25.11,Mobile Passer,72,207,28.07,4.8,5,0.00%,11.35%,0.00%,64.82%,92.11%,92.11%,69.08%,14.78%,17.06%,17.06%,12.80%,23.45,77.99,65.7%,12.80,75.9%,6.7%,2.1%,58%,6.00,0.20,2.41
120,10,2025,Quinn Ewers,Outlier Lite,3.76,42.00,-0.44,Texas,1,3/15/03,22.55,SR,22.13,Pocket Passer,74,210,26.96,4.74,7,0.00%,0.00%,69.28%,85.50%,77.78%,81.64%,81.64%,7.69%,3.25%,5.47%,5.47%,19.49,83.20,68.5%,11.88,76.3%,6.3%,1.7%,44%,5.96,0.05,2.16
121,10,2016,Kevin Hogan,Outlier Lite,3.75,41.50,-0.44,Stanford,5,10/20/92,32.96,SR,23.53,Mobile Passer,75,218,27.25,4.78,5,0.00%,39.11%,94.91%,93.31%,95.41%,95.41%,81.10%,18.85%,13.10%,15.97%,13.58%,20.88,83.52,67.3%,13.73,75.7%,6.1%,4.6%,39%,5.80,0.15,2.52
122,11,2025,Kurtis Rourke,Outlier Lite,3.73,41.00,-0.45,Indiana,2,10/25/00,24.94,RS SR,24.52,Pocket Passer,77,223,26.44,4.74,7,87.90%,81.94%,83.74%,83.38%,89.55%,89.55%,89.55%,12.33%,4.32%,8.32%,8.32%,19.87,88.35,68.9%,13.70,78.0%,7.4%,2.6%,55%,3.70,0.09,1.62
123,9,2022,Skylar Thompson,Outlier Lite,3.72,40.50,-0.45,Kansas State,3,6/4/97,28.33,RS SR,24.91,Pocket Passer,74,219,28.12,4.91,7,30.50%,71.52%,98.43%,33.71%,81.61%,90.02%,81.02%,3.47%,6.15%,6.15%,5.54%,21.25,75.36,68.9%,13.04,78.1%,8.7%,2.6%,58%,4.50,0.17,2.32
124,9,2020,Nate Stanley,Outlier Lite,3.71,40.00,-0.45,Iowa,2,8/26/97,28.11,SR,22.68,Pocket Passer,76,235,28.60,4.79,7,0.00%,3.11%,98.50%,95.69%,99.09%,99.09%,99.09%,3.95%,9.76%,9.76%,9.76%,20.03,89.28,59.0%,12.50,73.0%,6.6%,2.0%,50%,3.30,0.04,2.68
125,21,2026,Sawyer Robertson,Outlier Lite,3.68,39.60,-0.46,Baylor,3,2/1/03,22.67,SR,23.25,Pocket Passer,76,220,26.78,4.7,4,0.00%,0.57%,26.87%,90.02%,96.92%,93.47%,84.12%,13.08%,9.92%,11.50%,10.35%,21.60,90.17,62.2%,12.74,71.2%,4.7%,3.1%,53%,6.86,0.18,3.80
126,22,2026,Rocco Becht,Outlier Lite,3.65,39.10,-0.47,Iowa State,3,11/12/03,21.89,SR,22.47,Distributor,73,210,27.71,4.7,6,0.00%,1.94%,97.96%,98.04%,96.85%,98.04%,88.24%,16.79%,11.53%,14.16%,12.74%,19.82,86.07,65.0%,13.23,71.9%,5.7%,1.7%,46%,4.40,0.13,2.09
127,11,2018,Danny Etling,Outlier Lite,3.62,38.60,-0.48,LSU,1,7/22/94,31.21,RS SR,23.78,Game Manager,73,215,28.37,4.76,7,65.25%,35.57%,0.00%,93.07%,93.08%,93.08%,93.08%,4.70%,8.99%,8.99%,8.99%,19.12,83.76,59.6%,14.92,69.5%,5.2%,2.5%,51%,4.90,0.00,2.84
128,10,2017,Jerod Evans,Outlier Lite,3.59,38.10,-0.49,Virginia Tech,4,1/16/94,31.72,JR,23.29,Dual Threat,75,232,29.00,4.8,0,0.00%,0.00%,0.00%,0.00%,96.78%,96.78%,87.10%,0.00%,35.96%,35.96%,32.36%,22.64,87.41,63.0%,13.19,71.4%,5.6%,3.5%,52%,5.40,0.16,3.35
129,11,2024,Taulia Tagovailoa,Outlier Lite,3.57,37.60,-0.49,Maryland,2,2/15/00,25.63,RS SR,24.21,Distributor,71,208,29.01,4.91,0,2.25%,76.29%,97.02%,88.71%,93.38%,95.20%,95.20%,12.87%,13.78%,13.78%,13.78%,20.56,71.58,89.7%,11.64,80.2%,5.6%,2.9%,58%,5.00,0.18,2.95
130,11,2016,Nate Sudfeld,Outlier Lite,3.51,37.10,-0.51,Indiana,2,10/7/93,31.99,SR,22.57,Pocket Passer,78,230,26.58,4.8,6,0.00%,16.93%,68.56%,67.83%,93.53%,93.53%,93.53%,4.37%,4.04%,4.20%,4.20%,19.91,86.65,59.8%,14.47,70.9%,5.8%,3.0%,49%,5.10,0.03,1.06
131,12,2016,Brandon Allen,Purgatory,3.47,36.70,-0.52,Arkansas,1,9/5/92,33.08,SR,23.66,Pocket Passer,74,209,26.83,4.84,6,0.00%,5.14%,87.09%,93.25%,98.31%,98.31%,98.31%,3.31%,6.37%,6.37%,6.37%,21.00,76.17,65.9%,14.05,74.1%,6.3%,3.9%,49%,3.60,0.04,1.98
132,13,2016,Jake Rudock,Purgatory,3.47,36.20,-0.52,Michigan,2,1/21/93,32.70,SR,23.28,Distributor,75,212,26.50,4.8,6,0.00%,0.00%,93.01%,79.07%,97.67%,97.67%,97.67%,12.80%,11.33%,12.06%,12.06%,20.62,79.87,64.1%,12.07,75.9%,4.1%,2.7%,57%,5.63,0.07,1.75
133,9,2019,Gardner Minshew,Purgatory,3.45,35.70,-0.53,Washington State,5,1/16/96,29.72,SR,23.29,Pocket Passer,72,225,30.52,4.97,6,0.00%,0.00%,33.62%,55.96%,98.23%,98.23%,83.49%,0.99%,12.14%,12.14%,10.32%,21.64,73.75,70.5%,10.19,80.7%,5.3%,1.8%,53%,2.40,0.00,1.23
134,11,2017,C.J. Beathard,Purgatory,3.43,35.20,-0.54,Iowa,2,11/16/93,31.88,SR,23.46,Pocket Passer,74,219,28.12,4.8,3,0.00%,6.99%,21.00%,98.36%,96.63%,97.50%,97.50%,15.15%,7.93%,11.54%,11.54%,21.80,82.51,61.1%,11.32,73.5%,4.2%,2.6%,45%,4.80,0.08,2.66
135,12,2023,Aidan O'Connell,Purgatory,3.39,34.70,-0.55,Purdue,2,9/1/98,27.09,RS SR,24.67,Pocket Passer,75,213,26.62,4.7,4,0.00%,29.60%,49.41%,80.28%,89.24%,89.24%,89.24%,1.90%,3.37%,3.37%,3.37%,23.01,87.30,71.7%,10.95,77.1%,7.8%,3.5%,55%,2.40,0.07,0.85
136,23,2026,Luke Altmyer,Purgatory,3.33,34.20,-0.56,Illinois,2,10/22/02,22.95,RS SR,23.53,Distributor,74,215,27.60,4.7,0,5.37%,4.01%,59.12%,99.24%,96.94%,99.24%,99.24%,19.32%,11.40%,15.36%,15.36%,20.87,88.12,68.3%,12.39,77.7%,5.3%,1.5%,58%,6.27,0.13,2.83
137,12,2025,Riley Leonard,Purgatory,3.32,33.80,-0.57,Notre Dame,2,9/13/02,23.05,SR,22.64,Run First,76,216,26.29,4.52,6,0.00%,13.20%,98.04%,46.87%,89.94%,93.99%,93.99%,17.24%,29.55%,29.55%,29.55%,19.99,103.50,66.4%,10.60,78.2%,4.1%,1.7%,49%,7.30,0.47,5.55
