RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,BMI,40 Time,Draft Cap,PDOM1,PDOM2,PDOM3,PDOM4,PDOM5,TDOM,PDOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A
138,7,2015,Blake Sims,Purgatory,3.26,33.30,-0.59,Alabama,1,1/3/92,33.76,SR,23.33,Mobile Passer,71,219,30.54,4.57,0,0.00%,0.00%,2.52%,5.17%,89.28%,89.28%,89.28%,0.00%,14.75%,14.75%,14.75%,22.67,100.42,64.2%,13.84,74.2%,4.2%,2.6%,40%,6.12,0.23,2.04
139,10,2022,Carson Strong,Purgatory,3.26,32.80,-0.59,Nevada,7,9/14/99,26.05,SR,22.63,Pocket Passer,75,226,28.25,4.9,0,0.00%,0.00%,71.97%,99.41%,93.16%,96.28%,72.21%,4.85%,2.87%,3.86%,2.90%,19.98,78.41,70.1%,11.42,80.2%,6.1%,1.7%,50%,3.40,0.00,1.94
140,10,2020,Mason Fine,Purgatory,3.24,32.30,-0.59,North Texas,8,4/19/97,28.46,SR,23.04,Pocket Passer,69,190,28.06,4.6,0,0.00%,58.12%,98.78%,94.86%,90.79%,94.79%,61.61%,7.96%,4.84%,6.40%,4.16%,19.38,84.87,64.3%,12.11,79.7%,6.3%,2.8%,55%,3.50,0.03,1.51
141,13,2025,Kyle McCord,Purgatory,3.22,31.80,-0.60,Syracuse,4,9/19/02,23.04,SR,22.62,Pocket Passer,75,220,27.50,5,6,0.00%,8.40%,4.90%,90.59%,98.96%,98.96%,89.06%,1.91%,10.06%,10.06%,9.05%,20.97,70.40,65.8%,12.21,75.2%,5.7%,3.5%,56%,3.00,0.04,1.59
142,11,2022,Chase Garbers,Purgatory,3.20,31.40,-0.60,California,5,6/6/99,26.33,SR,22.91,Game Manager,73,220,29.03,4.85,0,0.00%,62.33%,69.11%,100.00%,95.19%,97.59%,82.95%,24.23%,27.21%,27.21%,23.13%,19.25,79.52,63.5%,11.35,73.8%,6.4%,1.7%,54%,6.30,0.13,2.40
143,24,2026,Avery Johnson,Purgatory,3.13,30.90,-0.62,Kansas State,3,11/2/04,20.92,JR,21.50,Distributor,75,188,23.50,4.7,0,0.00%,0.00%,15.28%,98.36%,100.00%,99.18%,89.26%,24.01%,18.63%,21.32%,19.19%,19.84,77.05,60.2%,11.05,74.2%,6.1%,3.3%,56%,6.30,0.20,2.50
144,10,2019,Jake Browning,Purgatory,3.12,30.40,-0.63,Washington,5,4/11/96,29.48,SR,23.06,Distributor,73,211,27.84,4.74,0,0.00%,95.02%,94.37%,93.98%,95.62%,95.62%,81.28%,7.42%,9.38%,9.38%,7.97%,19.40,83.60,68.2%,12.66,74.9%,5.6%,3.2%,51%,4.90,0.07,2.24
145,11,2020,Jake Luton,Purgatory,3.08,29.90,-0.64,Oregon State,5,4/11/96,29.48,RS SR,24.06,Pocket Passer,78,224,25.89,4.89,6,11.47%,0.00%,36.26%,55.52%,88.66%,88.66%,75.36%,-0.17%,3.56%,3.56%,3.02%,22.40,78.35,62.5%,12.23,74.1%,5.1%,1.6%,59%,3.00,0.06,0.42
146,13,2023,Tanner McKee,Purgatory,3.04,29.40,-0.65,Stanford,5,4/27/00,25.44,JR,23.01,Pocket Passer,78,231,26.69,4.85,6,0.00%,0.00%,3.60%,90.05%,96.66%,96.66%,82.16%,11.79%,8.14%,9.97%,8.47%,21.36,83.50,65.4%,11.13,75.6%,5.0%,1.5%,41%,4.00,0.03,2.51
147,12,2018,Luke Falk,Purgatory,3.01,28.90,-0.66,Washington State,5,12/28/94,30.77,SR,23.35,Pocket Passer,75,211,26.37,4.79,6,0.00%,32.78%,90.53%,94.80%,75.19%,85.00%,72.25%,6.60%,8.78%,8.78%,7.46%,20.69,80.16,69.7%,10.04,78.6%,4.8%,2.4%,49%,3.60,0.00,2.23
148,12,2024,Devin Leary,Purgatory,3.01,28.50,-0.66,Kentucky,1,9/10/99,26.07,RS SR,24.65,Pocket Passer,73,217,28.63,4.76,6,44.27%,28.22%,99.25%,43.04%,99.96%,99.96%,99.96%,2.54%,3.79%,3.79%,3.79%,21.99,84.54,61.1%,13.22,76.4%,6.8%,1.8%,55%,2.63,0.25,3.22
149,25,2026,Eli Holstein,Purgatory,2.98,28.00,-0.67,Pittsburgh,4,10/26/04,20.93,RS SO,21.52,Mobile Passer,76,225,27.39,4.7,0,0.00%,0.00%,0.00%,64.15%,86.98%,75.57%,68.01%,20.67%,27.53%,27.53%,24.78%,19.86,92.22,65.2%,14.17,72.3%,3.9%,5.3%,42%,6.70,0.47,6.47
150,11,2019,Tyree Jackson,Purgatory,2.94,27.50,-0.68,Buffalo,9,11/7/97,27.91,JR,21.48,Distributor,79,249,28.05,4.59,0,0.00%,0.00%,73.36%,60.11%,99.18%,99.18%,64.46%,13.86%,8.89%,11.37%,7.39%,18.83,112.20,60.3%,13.97,69.6%,7.8%,3.8%,43%,6.10,0.18,3.88
151,12,2021,KJ Costello,Purgatory,2.88,27.00,-0.70,Mississippi State,1,6/7/97,28.33,SR,23.90,Pocket Passer,77,215,25.49,4.9,0,0.00%,60.01%,99.72%,32.96%,39.49%,69.60%,69.60%,3.34%,1.21%,2.28%,2.28%,20.25,74.59,63.4%,13.16,73.5%,6.2%,3.3%,53%,4.30,0.00,1.00
152,12,2019,Brett Rypien,Purgatory,2.83,26.50,-0.71,Boise State,7,7/9/96,29.24,SR,22.81,Pocket Passer,73,210,27.71,4.91,0,0.00%,84.09%,94.25%,78.24%,97.60%,97.60%,73.20%,4.33%,8.06%,8.06%,6.04%,19.16,72.26,67.0%,12.31,74.9%,7.4%,3.0%,52%,3.40,0.03,1.55
153,26,2026,Jalon Daniels,Purgatory,2.82,26.00,-0.71,Kansas,3,10/29/02,22.93,RS SR,23.51,Game Manager,72,220,29.84,4.7,0,38.77%,60.90%,22.43%,97.96%,91.81%,97.96%,88.17%,18.75%,21.47%,21.47%,19.33%,19.85,90.17,66.7%,12.39,77.1%,7.1%,3.6%,47%,7.17,0.33,4.38
154,14,2025,Brady Cook,Purgatory,2.80,25.60,-0.72,Missouri,1,11/12/01,23.89,RS SR,23.47,Game Manager,74,215,27.60,4.59,0,2.70%,11.36%,98.74%,97.21%,86.64%,92.69%,92.69%,18.08%,16.25%,17.17%,17.17%,20.83,96.88,65.5%,12.61,75.4%,5.9%,0.8%,50%,5.10,0.12,1.67
155,12,2022,Jack Coan,Purgatory,2.76,25.10,-0.73,Notre Dame,2,12/9/98,26.82,RS SR,23.40,Pocket Passer,75,218,27.25,4.9,0,1.34%,25.12%,96.86%,0.00%,85.78%,91.32%,91.32%,0.00%,4.09%,4.09%,4.09%,20.74,75.63,65.7%,12.45,78.4%,6.0%,2.0%,37%,2.60,0.00,1.82
156,14,2023,Adrian Martinez,Purgatory,2.72,24.60,-0.74,Kansas State,3,1/7/99,26.74,RS SR,24.32,Run First,75,225,28.12,4.67,0,88.20%,76.95%,69.36%,89.49%,42.69%,66.09%,59.48%,29.01%,22.68%,25.85%,23.26%,19.66,94.61,64.5%,10.48,79.4%,4.7%,2.6%,54%,6.80,0.15,3.58
157,13,2018,Nic Shimonek,Purgatory,2.72,24.10,-0.74,Texas Tech,3,8/22/94,31.12,JR,23.70,Pocket Passer,75,225,28.12,4.86,0,0.00%,0.00%,0.36%,8.35%,91.19%,91.19%,82.07%,-0.13%,6.56%,6.56%,5.90%,23.04,80.66,66.5%,12.10,77.3%,5.4%,3.4%,56%,3.60,0.00,1.05
158,13,2024,Kedon Slovis,Purgatory,2.69,23.60,-0.75,BYU,3,4/11/01,24.48,RS SR,23.06,Pocket Passer,75,215,26.87,4.55,0,80.09%,99.79%,60.08%,82.67%,69.17%,84.48%,76.03%,1.31%,4.02%,4.02%,3.62%,18.40,100.33,58.5%,11.14,76.3%,5.1%,3.5%,50%,2.80,0.10,1.14
159,15,2025,Seth Henigan,Purgatory,2.68,23.10,-0.75,Memphis,6,3/10/03,22.57,SR,22.15,Distributor,75,215,26.87,4.76,0,0.00%,92.50%,99.12%,97.34%,99.69%,99.69%,74.77%,16.64%,12.11%,14.37%,10.78%,18.49,83.76,66.7%,11.31,74.3%,5.9%,2.0%,44%,4.30,0.10,1.71
160,14,2024,Sam Hartman,Purgatory,2.57,22.70,-0.79,Notre Dame,2,7/29/99,26.18,RS SR,24.76,Game Manager,73,212,27.97,4.8,0,65.06%,87.80%,98.33%,91.25%,84.12%,91.22%,91.22%,16.51%,8.73%,12.62%,12.62%,20.10,79.87,62.8%,14.19,73.2%,7.5%,2.5%,49%,6.30,0.11,2.83
161,16,2025,Payton Thorne,Purgatory,2.56,22.20,-0.79,Auburn,1,6/26/01,24.27,RS SR,23.85,Game Manager,74,203,26.06,4.7,0,34.81%,98.05%,93.02%,83.17%,85.66%,91.86%,91.86%,25.48%,20.70%,23.09%,23.09%,20.19,83.20,62.4%,13.63,73.1%,4.8%,1.7%,44%,6.20,0.14,2.41
162,14,2016,Jacoby Brissett,Purgatory,2.52,21.70,-0.80,North Carolina State,4,12/11/92,32.82,RS SR,23.39,Run First,76,235,28.60,4.94,3,8.53%,13.09%,0.00%,98.27%,97.12%,97.69%,87.92%,25.85%,20.31%,23.08%,20.77%,21.73,78.92,59.5%,11.23,71.3%,4.4%,2.9%,46%,7.10,0.22,3.51
163,27,2026,Aidan Chiles,Purgatory,2.51,21.20,-0.80,Michigan State,2,9/12/05,20.05,JR,20.64,Run First,75,217,27.12,4.7,0,0.00%,0.00%,9.82%,92.28%,98.52%,95.40%,95.40%,23.07%,32.75%,32.75%,32.75%,18.98,88.94,68.6%,12.40,74.7%,3.8%,2.3%,42%,7.76,0.41,4.72
164,12,2020,Cole McDonald,Purgatory,2.50,20.70,-0.81,Hawaii,7,5/20/98,27.38,JR,21.95,Mobile Passer,75,215,26.87,4.54,7,0.00%,0.00%,0.78%,89.20%,81.78%,85.49%,64.12%,22.74%,21.10%,21.92%,16.44%,20.30,101.22,63.8%,12.68,72.0%,5.5%,4.4%,42%,5.60,0.06,2.67
165,13,2021,Jamie Newman,Purgatory,2.46,20.20,-0.82,Wake Forest,4,12/1/97,27.84,SR,23.42,Run First,76,230,28.00,4.65,0,0.00%,0.22%,35.43%,76.65%,0.00%,38.33%,34.49%,29.34%,0.00%,14.67%,13.20%,21.76,98.39,61.0%,13.12,71.1%,5.9%,2.5%,51%,4.50,0.16,2.91
166,14,2021,Peyton Ramsey,Purgatory,2.45,19.80,-0.82,Northwestern,2,10/31/97,27.93,SR,23.50,Game Manager,74,220,28.25,4.77,0,0.00%,38.96%,92.95%,62.27%,97.30%,97.30%,97.30%,20.11%,13.36%,16.73%,16.73%,20.85,84.99,67.7%,12.06,75.4%,4.8%,1.8%,44%,4.80,0.17,2.73
167,13,2020,James Morgan,Purgatory,2.43,19.30,-0.83,FIU,10,2/28/98,27.60,RS SR,22.18,Pocket Passer,76,229,27.87,4.89,4,0.00%,76.96%,45.39%,83.84%,92.59%,92.59%,55.56%,0.77%,1.59%,1.59%,0.95%,18.52,80.10,64.9%,12.32,71.0%,3.8%,4.6%,42%,1.50,0.04,1.21
168,17,2025,Max Brosmer,Purgatory,2.43,18.80,-0.83,Minnesota,2,3/28/01,24.52,RS SR,24.10,Pocket Passer,74,225,28.89,4.78,0,91.61%,6.75%,99.97%,98.62%,97.90%,98.94%,98.94%,15.86%,7.97%,11.91%,11.91%,19.44,86.20,66.0%,10.45,77.5%,5.2%,1.7%,46%,4.90,0.13,2.49
169,13,2022,D'Eriq King,Purgatory,2.36,18.30,-0.85,Miami,4,8/24/97,28.11,RS SR,24.69,Run First,69,196,28.94,4.45,0,40.59%,77.12%,27.46%,87.97%,19.90%,53.93%,48.54%,34.62%,7.12%,20.87%,18.78%,21.03,99.96,65.3%,9.47,79.1%,6.4%,1.7%,63%,6.20,0.21,3.82
170,14,2020,Brian Lewerke,Purgatory,2.31,17.80,-0.86,Michigan State,2,10/24/96,28.95,SR,23.52,Mobile Passer,74,213,27.35,4.95,0,0.00%,14.28%,100.14%,72.31%,96.48%,98.31%,98.31%,16.90%,25.28%,25.28%,25.28%,20.87,70.96,59.7%,11.76,70.6%,4.1%,3.2%,51%,4.40,0.04,2.14
171,15,2016,Brandon Doughty,Purgatory,2.28,17.30,-0.87,Western Kentucky,10,10/6/91,34.00,RS SR,24.58,Pocket Passer,75,212,26.50,5.22,7,5.28%,0.26%,91.05%,99.36%,96.78%,98.07%,58.84%,3.13%,0.78%,1.95%,1.17%,21.92,57.11,71.2%,13.00,81.8%,4.7%,2.4%,53%,2.70,0.00,1.65
172,18,2025,DJ Uiagalelei,Purgatory,2.27,16.90,-0.88,Florida State,4,4/17/01,24.46,RS SR,24.04,Game Manager,76,252,30.67,4.87,0,21.86%,90.34%,77.47%,83.26%,49.03%,69.69%,62.72%,11.77%,3.32%,7.55%,6.79%,20.39,89.60,57.0%,12.78,71.6%,6.2%,2.6%,47%,4.20,0.23,2.72
173,12,2017,Seth Russell,Purgatory,2.26,16.40,-0.88,Baylor,3,1/24/94,31.70,SR,23.27,Game Manager,74,203,26.06,4.68,0,0.00%,9.15%,16.90%,55.95%,58.19%,58.19%,52.37%,9.48%,17.45%,17.45%,15.71%,21.61,84.63,59.5%,13.98,70.8%,8.4%,5.2%,47%,8.90,0.27,4.11
174,15,2020,Kelly Bryant,Purgatory,2.24,15.90,-0.88,Missouri,1,9/25/96,29.02,RS SR,23.60,Game Manager,74,229,29.40,4.69,0,0.62%,0.96%,84.47%,11.03%,82.93%,83.70%,83.70%,4.09%,18.89%,18.89%,18.89%,20.95,94.66,66.7%,12.24,73.9%,5.5%,1.6%,47%,6.10,0.25,4.58
175,16,2020,Khalil Tate,Purgatory,2.22,15.40,-0.89,Arizona,5,10/23/98,26.95,SR,21.53,Game Manager,74,215,27.60,4.49,0,0.00%,11.37%,68.12%,82.63%,61.29%,71.96%,61.17%,11.86%,24.07%,24.07%,20.46%,18.87,105.80,60.1%,12.16,70.7%,7.3%,3.3%,40%,7.80,0.24,3.04
176,14,2018,Quinton Flowers,Purgatory,2.20,14.90,-0.89,USF,6,12/2/94,30.84,SR,23.42,Run First,70,214,30.71,4.63,0,0.00%,4.66%,90.86%,95.85%,97.02%,97.02%,72.77%,41.99%,35.55%,38.77%,29.08%,20.76,93.14,62.9%,15.58,70.2%,6.5%,2.7%,42%,8.10,0.29,2.43
177,15,2023,Sean Clifford,Purgatory,2.18,14.40,-0.90,Penn State,2,7/14/98,27.22,RS SR,24.80,Distributor,74,210,26.96,4.7,5,6.88%,92.25%,82.03%,89.00%,85.96%,89.10%,89.10%,21.60%,10.72%,16.16%,16.16%,21.15,86.07,64.4%,12.49,77.1%,4.6%,2.2%,46%,5.20,0.09,2.13
178,29,2026,Jackson Arnold,Purgatory,2.16,14.00,-0.90,Auburn,1,9/2/04,21.08,JR,21.66,Run First,73,211,27.84,4.7,0,0.00%,0.00%,13.19%,61.68%,97.30%,79.49%,79.49%,28.09%,30.08%,30.08%,30.08%,20.01,86.48,68.3%,10.45,76.6%,2.9%,2.1%,46%,6.23,0.30,3.53
179,15,2018,Riley Ferguson,Purgatory,2.13,13.50,-0.92,Memphis,6,1/19/95,30.71,SR,23.28,Pocket Passer,75,212,26.50,4.98,0,0.00%,0.00%,0.00%,93.28%,97.68%,97.68%,73.26%,6.19%,5.03%,5.61%,4.21%,21.63,68.94,63.1%,14.23,74.7%,5.4%,3.5%,46%,3.40,0.03,1.81
180,30,2026,Miller Moss,Purgatory,2.10,13.00,-0.93,Louisville,4,3/29/02,23.52,RS SR,24.10,Pocket Passer,74,210,26.96,4.7,0,2.07%,3.39%,15.73%,67.14%,88.80%,77.97%,70.17%,1.40%,3.53%,3.53%,3.18%,22.44,86.07,67.1%,13.02,75.7%,3.4%,2.0%,44%,6.00,0.08,2.08
181,16,2018,Kyle Allen,Purgatory,2.09,12.50,-0.93,Houston,6,3/8/96,29.58,RS JR,22.15,Game Manager,75,210,26.25,4.74,0,0.00%,33.29%,65.83%,0.00%,23.95%,44.89%,33.67%,0.00%,0.58%,0.58%,0.43%,19.49,83.20,76.2%,9.39,85.1%,5.8%,4.3%,47%,1.30,0.17,2.33
182,17,2018,Tanner Lee,Purgatory,2.01,12.00,-0.95,Nebraska,2,2/14/95,30.64,RS JR,23.21,Pocket Passer,76,218,26.54,4.98,6,0.00%,81.78%,67.12%,0.00%,94.23%,94.23%,94.23%,0.00%,0.73%,0.73%,0.73%,19.56,70.89,57.2%,12.81,67.0%,4.1%,5.7%,41%,1.50,0.00,1.00
183,18,2018,Kenny Hill,Purgatory,1.97,11.50,-0.96,TCU,3,12/20/94,30.79,RS SR,23.37,Mobile Passer,73,205,27.05,4.73,0,0.00%,66.51%,0.00%,92.31%,92.45%,92.45%,83.21%,27.97%,16.42%,22.20%,19.98%,19.71,81.91,67.3%,11.75,73.7%,3.9%,4.2%,39%,7.60,0.32,4.13
184,17,2020,Steven Montez,Purgatory,1.96,11.10,-0.96,Colorado,5,1/14/97,28.72,SR,23.30,Distributor,76,231,28.12,4.58,0,0.00%,30.26%,95.36%,95.39%,98.29%,98.29%,83.54%,22.35%,14.31%,18.33%,15.58%,20.64,105.00,64.8%,11.02,73.9%,4.9%,2.4%,39%,6.30,0.11,3.55
185,19,2018,Austin Allen,Purgatory,1.94,10.60,-0.97,Arkansas,1,8/21/94,31.12,SR,23.70,Pocket Passer,72,209,28.35,4.81,0,0.00%,6.26%,1.00%,100.12%,57.04%,78.58%,78.58%,4.08%,3.84%,3.96%,3.96%,22.04,78.09,60.9%,13.39,71.5%,5.8%,3.4%,48%,5.30,0.09,2.05
186,13,2019,Clayton Thorson,Purgatory,1.92,10.10,-0.98,Northwestern,2,6/15/95,30.31,SR,23.88,Pocket Passer,76,222,27.02,4.75,5,0.00%,84.56%,99.78%,93.39%,95.05%,97.41%,97.41%,8.96%,6.83%,7.90%,7.90%,20.22,87.22,60.6%,10.66,72.1%,4.0%,2.6%,40%,3.50,0.07,1.84
187,8,2015,Shane Carden,Purgatory,1.89,9.60,-0.99,East Carolina,6,11/6/91,33.92,SR,23.49,Distributor,74,221,28.37,4.94,0,0.00%,0.00%,87.75%,97.05%,97.77%,97.77%,73.32%,0.00%,12.53%,12.53%,9.40%,20.83,74.22,70.5%,12.03,73.0%,2.9%,2.2%,50%,4.39,0.12,1.41
188,31,2026,Haynes King,Purgatory,1.86,9.10,-0.99,Georgia Tech,4,1/9/01,24.73,RS SR,25.31,Game Manager,75,215,26.87,4.7,0,11.99%,46.33%,98.71%,68.13%,52.49%,83.42%,75.08%,23.71%,15.12%,19.42%,17.47%,22.66,88.12,72.3%,11.22,82.3%,5.4%,0.0%,52%,7.80,0.25,2.63
189,18,2020,Anthony Gordon,Purgatory,1.78,8.60,-1.02,Washington State,5,8/23/96,29.12,SR,23.69,Pocket Passer,74,205,26.32,4.9,0,0.00%,0.00%,0.00%,0.35%,97.89%,97.89%,83.21%,0.00%,10.72%,10.72%,9.12%,23.04,71.12,71.2%,11.28,79.8%,3.9%,3.6%,43%,3.30,0.00,2.09
190,14,2019,Kyle Shurmur,Purgatory,1.77,8.20,-1.02,Vanderbilt,1,11/6/96,28.91,SR,22.48,Pocket Passer,76,230,28.00,4.91,0,0.00%,24.39%,96.90%,96.96%,98.93%,98.93%,98.93%,2.65%,2.75%,2.75%,2.75%,19.83,79.15,61.9%,12.29,72.0%,3.7%,3.2%,44%,2.70,0.00,1.20
191,15,2024,Austin Reed,Purgatory,1.66,7.70,-1.05,Western Kentucky,10,2/22/00,25.61,RS SR,24.19,Pocket Passer,74,220,28.25,4.82,0,96.94%,0.00%,98.56%,96.21%,86.63%,92.60%,55.56%,14.51%,9.57%,12.04%,7.22%,19.53,81.52,64.6%,11.51,73.0%,5.5%,3.5%,49%,3.70,0.07,1.33
192,32,2026,Mark Gronowski,Purgatory,1.63,7.20,-1.06,Iowa,2,10/5/01,23.99,RS SR,24.58,Game Manager,75,230,28.75,4.7,0,91.28%,98.90%,91.73%,91.57%,89.29%,95.24%,95.24%,11.64%,20.85%,20.85%,20.85%,19.92,94.27,60.6%,10.04,78.1%,5.4%,1.8%,50%,4.40,0.24,2.45
193,16,2024,Brennan Armstrong,Purgatory,1.51,6.70,-1.10,NC State,4,10/18/99,25.96,RS SR,24.54,Run First,74,212,27.22,4.76,0,5.24%,81.12%,94.01%,98.87%,70.73%,84.80%,76.32%,39.07%,33.33%,36.20%,32.58%,20.89,82.59,60.8%,11.14,74.1%,6.7%,2.0%,46%,6.20,0.28,3.54
194,20,2018,Chase Litton,Purgatory,1.44,6.20,-1.12,Marshall,8,10/5/95,30.00,JR,22.58,Pocket Passer,77,232,27.51,4.87,0,0.00%,0.00%,86.52%,89.90%,99.87%,99.87%,64.92%,1.76%,4.49%,4.49%,2.92%,19.92,82.49,61.9%,11.70,68.1%,6.2%,3.5%,41%,2.40,0.00,0.81
195,9,2015,Bo Wallace,Purgatory,1.43,5.70,-1.12,Ole Miss,1,6/23/92,33.28,SR,22.86,Distributor,76,217,26.41,4.8,0,0.00%,0.00%,92.15%,90.85%,93.43%,93.43%,93.43%,0.00%,16.36%,16.36%,16.36%,20.20,81.76,64.8%,13.92,69.4%,4.0%,5.0%,38%,3.91,0.09,1.09
196,17,2024,Phil Jurkovec,Purgatory,1.39,5.30,-1.13,Pittsburgh,4,11/3/99,25.92,RS SR,24.50,Game Manager,77,235,27.87,4.86,0,6.77%,81.83%,41.23%,57.71%,31.56%,56.69%,51.02%,14.76%,12.35%,13.56%,12.20%,20.84,84.25,59.0%,14.35,69.9%,3.3%,4.0%,39%,5.90,0.10,2.61
197,13,2017,Mitch Leidner,Purgatory,1.29,4.80,-1.16,Minnesota,2,1/17/94,31.72,SR,23.29,Game Manager,76,230,28.00,4.7,0,0.00%,32.16%,97.51%,96.56%,96.59%,97.05%,97.05%,19.06%,17.35%,18.21%,18.21%,20.63,94.27,59.0%,12.53,69.0%,5.8%,4.9%,46%,4.20,0.15,2.27
198,10,2015,Trevor Siemian,Purgatory,1.14,4.30,-1.20,Northwestern,2,12/26/91,33.78,SR,23.35,Pocket Passer,75,220,27.50,4.8,7,0.00%,7.75%,59.69%,78.83%,85.72%,85.72%,85.72%,0.00%,6.72%,6.72%,6.72%,20.70,82.89,59.7%,9.77,68.9%,4.4%,3.5%,37%,3.00,0.00,0.88
199,21,2018,Kurt Benkert,Purgatory,0.97,3.80,-1.25,Virginia,4,7/17/95,30.22,RS JR,22.79,Pocket Passer,74,218,27.99,4.95,0,0.00%,1.20%,0.00%,89.07%,98.98%,98.98%,89.08%,7.46%,7.68%,7.68%,6.91%,21.14,72.62,58.3%,10.74,71.0%,5.0%,3.9%,35%,3.50,0.06,1.20
200,19,2025,Connor Bazelak,Purgatory,0.74,3.30,-1.32,Bowling Green,9,9/22/00,25.03,RS SR,24.61,Pocket Passer,75,225,28.12,4.8,0,88.72%,84.09%,88.62%,78.93%,97.79%,97.79%,63.57%,4.88%,4.50%,4.69%,3.05%,19.96,84.77,66.8%,11.33,75.5%,2.4%,1.9%,46%,4.10,0.17,0.96
201,15,2019,Nick Fitzgerald,Purgatory,0.63,2.80,-1.35,Mississippi State,1,1/14/96,29.72,RS SR,23.30,Run First,76,226,27.51,4.64,0,0.00%,5.69%,89.14%,82.21%,78.18%,83.66%,83.66%,30.38%,41.19%,41.19%,41.19%,20.64,97.51,55.6%,12.18,65.7%,3.9%,4.7%,35%,6.40,0.17,3.32
202,14,2017,Trevor Knight,Purgatory,0.28,2.40,-1.46,Texas A&M,1,10/3/93,32.01,SR,23.58,Run First,73,219,28.89,4.54,0,0.00%,31.65%,86.96%,7.64%,73.32%,80.14%,80.14%,2.34%,23.68%,23.68%,23.68%,20.92,103.10,56.1%,12.60,68.4%,3.7%,4.1%,39%,7.30,0.07,2.57
203,33,2026,Conner Weigman,Purgatory,0.15,1.90,-1.49,Houston,3,8/8/03,22.15,RS JR,22.73,Run First,75,210,26.25,4.7,0,0.00%,34.03%,27.81%,29.81%,100.00%,64.90%,58.41%,5.28%,26.15%,26.15%,23.53%,22.08,86.07,63.4%,12.64,70.8%,4.1%,4.4%,33%,7.10,0.25,3.40
204,17,2023,Tommy Devito,Purgatory,-0.36,1.40,-1.64,Illinois,2,8/7/98,27.16,RS SR,24.74,Pocket Passer,74,210,26.96,4.7,0,14.97%,80.85%,31.43%,21.13%,96.00%,96.00%,96.00%,4.27%,7.89%,7.89%,7.89%,21.08,86.07,69.4%,10.32,0.0%,0.0%,0.0%,0%,7.60,0.84,3.40
205,11,2015,Cody Fajardo,Purgatory,-1.23,0.90,-1.90,Nevada,7,3/29/92,33.52,SR,23.09,Run First,74,215,27.60,4.63,0,0.00%,50.67%,87.89%,89.89%,99.24%,99.24%,74.43%,0.00%,41.81%,41.81%,31.36%,20.44,93.57,67.9%,10.42,67.1%,2.9%,4.6%,37%,7.05,0.14,2.92
206,15,2017,Taysom Hill,Purgatory,-1.54,0.40,-1.99,BYU,7,8/23/90,35.12,RS SR,26.70,Run First,74,225,28.89,4.68,0,13.22%,99.86%,26.83%,6.95%,90.24%,95.05%,71.29%,4.42%,25.87%,25.87%,19.40%,23.04,93.81,61.8%,10.51,70.5%,2.7%,2.2%,31%,13.80,0.50,3.25