Player,Bias,DOM+,Draft Capital,MTF,Y/RR,Y/REC,REC%,aDOT,Breakout Age,Drop%,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
DeAndre Smelter,-213.9292,17.5034,-13.1538,-7.2348,36.6247,12.7730,-10.4646,-0.2514,-23.8088,1.0893,-12.9774,13.0770,-12.9774,9.1287,-213.8296,-194.0000,-19.8296
Malachi Dupre,-213.9292,18.8940,-121.6070,-7.8374,3.7715,2.4877,-16.4780,-6.1427,36.2442,6.2882,19.9040,-84.3795,19.9040,7.3799,-278.4045,-254.0000,-24.4045
Pharoh Cooper,-213.9292,19.3451,-18.8170,7.1892,15.3197,-3.1035,-13.8380,-0.4563,9.8367,2.9925,-32.6220,18.4684,-32.6220,8.7427,-228.0827,-236.0000,7.9173
Hunter Renfrow,-213.9292,-38.3737,-50.4816,0.6521,-66.0730,-7.5428,14.3529,13.1761,-1.4796,-11.9072,13.3732,-147.6768,13.3732,5.4889,-348.2328,-402.0000,53.7672
Dominic Lovett,-213.9292,-26.7896,-127.4525,5.6739,4.7394,-0.0555,6.2327,1.1153,11.6111,-9.5009,9.6812,-134.4261,9.6812,5.7477,-338.6741,-286.0000,-52.6741
Josh Malone,-213.9292,13.4790,-17.7316,-0.6071,-1.3977,15.9506,1.3034,-4.4643,2.9223,2.6199,11.5140,12.0745,11.5140,9.7648,-190.3408,-132.0000,-58.3408
Dontayvion Wicks,-213.9292,7.7985,-47.9909,2.0860,-3.1785,3.1012,-15.8858,3.0387,6.6986,16.6941,-28.4647,-27.6381,-28.4647,7.6066,-270.0319,-186.0000,-84.0319
DaeSean Hamilton,-213.9292,7.3373,-17.7874,8.8111,-3.1330,4.2446,1.5177,3.1027,14.0609,3.0785,-4.9123,21.2324,-4.9123,9.5680,-197.6090,-172.0000,-25.6090
Wan'Dale Robinson,-213.9292,14.3533,100.1605,-7.2868,24.1599,-3.7255,12.9250,2.6282,2.8745,2.8352,-2.7799,148.9243,-2.7799,13.0838,-67.7848,-80.0000,12.2152
A.J. Brown,-213.9292,4.4906,112.1252,-14.7261,6.7070,3.3880,16.3774,3.3677,1.4028,3.0408,-17.3292,136.1734,-17.3292,12.3445,-95.0850,-10.0000,-85.0850
Kayshon Boutte,-213.9292,-24.5018,-99.5308,3.0612,1.5666,-5.8447,5.9148,-0.7918,66.2781,6.0148,4.7802,-47.8336,4.7802,7.9600,-256.9826,-140.0000,-116.9826
Simi Fehoko,-213.9292,18.2801,-42.6420,-5.9782,16.1346,-0.2670,-6.1623,-1.4766,-27.9475,-0.2788,8.4255,-50.3377,8.4255,7.9910,-255.8413,-180.0000,-75.8413
Justin Watson,-213.9292,44.2224,-48.4338,2.1358,-3.1977,-7.4970,-5.6171,-2.0404,0.8165,0.3262,-7.0703,-19.2851,-7.0703,8.4123,-240.2844,-127.0000,-113.2844
Darius Slayton,-213.9292,21.8385,-52.4967,3.0014,-67.1676,25.0182,-15.9386,-1.0627,4.4972,18.0469,7.7074,-64.2634,7.7074,7.5944,-270.4853,-215.0000,-55.4853
Zay Jones,-213.9292,20.8528,104.7349,-11.8942,8.9060,-8.5745,11.2253,2.3839,-0.3379,-9.8237,8.0222,117.4726,8.0222,12.5246,-88.4344,-105.0000,16.5656
Anthony Miller,-213.9292,-123.1073,111.6757,2.1685,-4.1417,-6.0288,-6.0757,-1.9471,0.2548,0.1464,-15.9714,-27.0552,-15.9714,7.9608,-256.9556,-164.0000,-92.9556
Mike Williams,-213.9292,20.2308,-17.4930,2.9660,-1.6453,-3.2969,0.0586,-0.9764,6.2520,2.1069,-7.4442,8.2027,-7.4442,9.1465,-213.1707,-32.0000,-181.1707
Miles Boykin,-213.9292,54.9197,67.3130,10.1761,-31.8646,-11.4851,-25.3183,-1.2652,0.5006,5.6975,-0.0464,68.6737,-0.0464,10.9845,-145.3019,-199.0000,53.6981
Nico Collins,-213.9292,6.7135,53.5756,-6.9462,-4.5400,18.1077,-16.2454,-5.1904,14.5632,3.6811,9.0352,63.7191,9.0352,11.0963,-141.1750,-85.0000,-56.1750
Samori Toure,-213.9292,18.2411,-158.3564,-10.4264,20.5283,16.7564,-9.8183,-7.8266,-58.4287,-8.1435,-6.6932,-197.4741,-6.6932,3.5968,-418.0967,-420.0000,1.9033
Elic Ayomanor,-213.9292,20.2627,-15.9648,2.4606,-4.2822,-4.0292,-16.6875,1.1310,6.4685,5.3969,3.9411,-5.2440,3.9411,9.0907,-215.2320,-163.0000,-52.2320
Tre Harris,-213.9292,18.8932,101.1307,3.8082,24.2972,3.7174,7.1829,-3.1169,1.3220,5.1211,-5.8309,162.3558,-5.8309,13.3649,-57.4043,-61.0000,3.5957
Ty Montgomery,-213.9292,16.0108,59.3876,2.4774,-2.8704,-3.9082,-16.9954,-2.2332,4.0870,3.3700,-5.0805,59.3256,-5.0805,10.5950,-159.6840,-190.0000,30.3160
Chris Moore,-213.9292,-58.8879,-24.4852,-16.2933,-4.7839,30.9740,-19.3311,-1.5479,7.9300,10.9892,10.3731,-75.4361,10.3731,7.3640,-278.9921,-362.0000,83.0079
Isaiah Ford,-213.9292,20.5848,-128.3272,2.6596,0.2448,-3.5940,-16.0001,0.4092,43.9935,3.1434,6.6771,-76.8860,6.6771,7.2246,-284.1381,-251.0000,-33.1381
Jaylin Lane,-213.9292,-27.7010,-22.5781,4.0872,-2.4074,-8.3986,7.3468,4.5874,0.3969,4.6487,-6.4528,-40.0181,-6.4528,7.8675,-260.4000,-212.0000,-48.4000
Noah Brown,-213.9292,-21.2573,-164.0868,0.8441,-76.5234,2.1456,-0.7508,-1.9395,3.2542,8.0622,-5.8948,-250.2517,-5.8948,2.1892,-470.0758,-478.0000,7.9242
Marvin Harrison Jr.,-213.9292,14.7554,132.1332,-8.0008,24.6564,0.1067,-19.0796,-3.1486,4.7792,3.8008,-4.5775,150.0027,-4.5775,13.0643,-68.5039,-1.0000,-67.5039
Jaelon Darden,-213.9292,17.0300,-13.0080,-14.2778,38.9647,0.9774,0.0002,-0.1932,5.7272,5.7070,9.0540,40.9275,9.0540,10.4796,-163.9477,-235.0000,71.0523
Jalen Hurd,-213.9292,-21.4138,51.7105,5.7879,-3.1930,-7.7147,-0.9219,2.4214,31.8289,-2.7989,4.7431,55.7064,4.7431,10.7630,-153.4796,-234.0000,80.5204
Montrell Washington,-213.9292,1.0158,-42.8510,1.6409,-6.0762,-6.9487,-6.5114,-1.8165,54.4940,0.4295,-6.7950,-6.6236,-6.7950,8.7626,-227.3477,-543.0000,315.6523
Devin Funchess,-213.9292,19.0726,105.5983,1.8326,-3.7681,-1.5231,-18.1333,-1.7831,7.6589,5.7039,-6.7757,114.6587,-6.7757,12.0476,-106.0462,-146.0000,39.9538
Devin Smith,-213.9292,15.4862,93.1753,-18.6946,23.3071,15.0919,4.2050,-5.6845,11.8877,1.2361,1.4274,140.0102,1.4274,12.9563,-72.4916,-77.0000,4.5084
Chase Claypool,-213.9292,64.3195,109.0611,18.7102,-8.4120,-7.3233,5.7123,-9.8117,0.8378,2.1273,-12.8046,175.2212,-12.8046,13.5245,-51.5126,-91.0000,39.4874
Jehu Chesson,-213.9292,23.7987,-16.4289,-5.9816,-4.3252,0.9442,-0.5743,-3.4147,-29.8648,5.3557,10.1616,-30.4909,10.1616,8.5754,-234.2584,-287.0000,52.7416
Breshad Perriman,-213.9292,16.1184,139.4734,3.9856,-3.4282,18.5086,-11.5169,3.0070,-2.9596,6.1491,7.0121,169.3374,7.0121,13.9018,-37.5798,-45.0000,7.4202
Tyler Lockett,-213.9292,16.7047,49.3981,0.4147,24.5066,-4.1338,8.9748,-0.6870,-2.1904,2.9998,10.7860,95.9875,10.7860,12.0176,-107.1557,-154.0000,46.8443
Demarcus Ayers,-213.9292,14.9736,-147.1170,2.4400,4.7563,-2.7065,0.1673,-1.6047,6.6052,3.9258,-29.8279,-118.5600,-29.8279,5.1074,-362.3169,-448.0000,85.6831
Jordan Whittington,-213.9292,-98.0855,-126.1509,3.5650,-56.1814,-8.1805,9.0538,22.9294,0.4857,3.0434,9.0771,-249.5210,9.0771,2.6144,-454.3730,-468.0000,13.6270
James Washington,-213.9292,-22.5310,118.8487,-5.8123,-36.7914,7.9607,-21.7457,-2.9745,57.0152,0.8372,-2.8769,94.8069,-2.8769,11.6156,-121.9991,-123.0000,1.0009
Keke Coutee,-213.9292,20.6587,-21.0856,-8.0365,16.3390,3.7559,12.4736,3.6264,3.3320,5.9352,12.6177,36.9987,12.6177,10.4697,-164.3129,-151.0000,-13.3129
Anthony Schwartz,-213.9292,6.6002,55.2266,2.0207,-4.8885,-11.8431,0.7682,17.6869,0.0999,4.4812,4.8575,70.1521,4.8575,11.1574,-138.9196,-98.0000,-40.9196
Jamari Thrash,-213.9292,21.5313,-47.3239,7.9706,17.1330,1.9768,-1.5693,-0.6614,-27.3539,6.1396,13.9478,-22.1572,13.9478,8.9037,-222.1384,-281.0000,58.8616
Dede Westbrook,-213.9292,15.0760,-14.1117,-1.7849,40.0414,14.2117,13.6102,-1.6428,-30.4534,-6.5568,14.1040,28.3897,14.1040,10.2768,-171.4353,-233.0000,61.5647
Kaelin Clay,-213.9292,-26.2631,-143.1051,-11.4671,-61.0771,-5.3852,-18.9863,6.2831,-67.3648,5.8096,-15.4279,-321.5560,-15.4279,0.0000,-550.9130,-560.0000,9.0870
Andy Isabella,-213.9292,60.6254,121.9186,26.1540,-21.5811,-5.5011,-29.6499,28.8336,-0.9834,1.9774,0.8439,181.7935,0.8439,14.0721,-31.2916,-99.0000,67.7084
Tyrie Cleveland,-213.9292,-14.6361,-133.6041,16.3029,-2.0479,5.2474,-14.3148,-2.0615,5.3910,-9.8250,-2.6626,-149.5481,-2.6626,5.0039,-366.1398,-316.0000,-50.1398
Charone Peake,-213.9292,-116.7987,-143.5967,-9.2195,0.6464,-6.8742,-22.2621,-5.2924,-1.5919,5.3547,-5.6547,-299.6344,-5.6547,0.8583,-519.2182,-508.0000,-11.2182
Chris Godwin,-213.9292,15.3438,54.2222,1.5260,-4.4810,-0.1180,1.2169,-5.1624,13.2946,2.6371,10.0125,78.4792,10.0125,11.5225,-125.4375,-51.0000,-74.4375
Devin Duvernay,-213.9292,19.5383,67.6032,-16.2418,7.1772,-3.7819,20.2672,5.4759,-42.8002,-8.5322,-22.7891,48.7057,-22.7891,9.8278,-188.0126,-116.0000,-72.0126
Auden Tate,-213.9292,20.1319,-164.8708,-9.2529,-61.0133,-3.4229,-15.0141,-1.8938,2.2073,-6.2291,-23.9470,-239.3577,-23.9470,1.9953,-477.2340,-462.0000,-15.2340
Matthew Golden,-213.9292,-15.4160,135.8176,-0.3694,-8.5533,5.1470,7.0186,-1.5771,2.4730,1.9772,10.3017,126.5176,10.3017,12.8312,-77.1097,-55.0000,-22.1097
Kaden Prather,-213.9292,-34.5154,-149.7296,-1.5725,-60.7076,-16.6014,1.8577,-2.7948,-2.2126,-11.8790,13.3334,-278.1552,13.3334,1.9542,-478.7510,-526.0000,47.2490
Jordan Addison,-213.9292,8.9562,133.4851,7.0889,11.9162,4.8935,10.9324,-0.4760,24.9509,2.9097,12.2453,204.6569,12.2453,15.0000,2.9731,-34.0000,36.9731
Parker Washington,-213.9292,29.7907,-125.9694,6.6674,-47.3896,-5.0624,6.6056,9.2802,56.3301,3.5657,-13.8590,-66.1817,-13.8590,6.9584,-293.9698,-148.0000,-145.9698
Jayden Reed,-213.9292,17.3148,97.6311,2.6583,3.6422,-2.9036,-17.0946,-4.1942,58.2815,5.0185,1.5026,160.3540,1.5026,13.5093,-52.0728,-66.0000,13.9272
Rondale Moore,-213.9292,15.5882,103.4771,-19.7353,5.5818,-3.6881,13.2111,9.2918,44.7025,4.9085,-1.7617,173.3376,-1.7617,13.7725,-42.3533,-56.0000,13.6467
Drake London,-213.9292,19.3112,133.8246,-10.0177,23.9188,-3.3043,13.7045,0.3227,6.2001,5.8060,10.3275,189.7659,10.3275,14.5448,-13.8359,-8.0000,-5.8359
Javon Baker,-213.9292,20.0753,-12.0813,0.1086,27.2301,16.9010,-7.4534,2.1862,3.8039,0.1801,10.1933,50.9505,10.1933,10.7818,-152.7854,-211.0000,58.2146
Dylan Cantrell,-213.9292,-35.7131,-128.8473,5.5161,-58.4973,-8.7106,0.7006,6.3642,-0.9237,-9.6378,-6.4966,-229.7489,-6.4966,2.7281,-450.1748,-500.0000,49.8252
Christian Watson,-213.9292,6.8155,105.4349,1.8188,-4.8068,-6.7902,-5.6566,-1.9471,-0.5568,-0.0616,9.3131,94.2501,9.3131,11.9306,-110.3659,-54.0000,-56.3659
Elijah Higgins,-213.9292,-27.9089,-127.7456,4.2963,-54.2845,-7.1166,6.3855,10.3172,-11.9296,3.8478,-5.0121,-204.1384,-5.0121,3.4619,-423.0798,-292.0000,-131.0798
Rashod Bateman,-213.9292,16.0357,126.9318,6.5088,22.7121,1.2976,0.2991,-1.3208,21.0057,0.5101,12.9439,193.9801,12.9439,14.7298,-7.0052,-20.0000,12.9948
John Hightower,-213.9292,-18.2864,-52.6489,-10.6331,-0.5718,3.3086,-8.1023,-2.2031,-53.3335,1.1582,11.0371,-141.3123,11.0371,5.5980,-344.2043,-291.0000,-53.2043
Cedric Tillman,-213.9292,10.0641,55.8208,0.0663,-4.0573,0.3861,6.2990,-2.0631,5.4160,-9.7899,-9.0530,62.1420,-9.0530,10.5637,-160.8400,-153.0000,-7.8400
Rashee Rice,-213.9292,8.3693,108.4053,-5.5014,14.8723,-5.8013,-14.7916,-6.8647,1.0141,4.8933,9.9505,104.5953,9.9505,12.2280,-99.3833,-70.0000,-29.3833
Arian Smith,-213.9292,-38.8185,-23.1944,-2.2825,-2.5977,8.3508,6.2753,-0.6912,0.3355,15.0182,10.4426,-37.6045,10.4426,8.3904,-241.0911,-322.0000,80.9089
